contour_points,amount_contours,rect_area,hull_area,approximation_area,contour_perimeters,corners,harris_corners,ratio_wide_length,contour_length_area_ratio,contour_length_rect_area_ratio,contour_length_hull_area_ratio,contour_rect_length_ratio,contour_hull_length_ratio,extent,solidity,hull_rectangle_ratio
676,3,20729.54524463974,14977.0,10152.5,789.4945094585419,53,901,3.3993290006917114,0.07731046900299078,0.038085471733283194,0.05271379511641463,1.1490379934398853,1.3183012217982621,0.492630199046003,0.6818454964278561,0.7224953477391292
1725,3,65025.0,65025.0,48154.5,1847.192993760109,92,1582,1.0,0.03850845854592303,0.02840742781637999,0.02840742781637999,1.8109735232942246,1.8109735232942246,0.7376931949250288,0.7376931949250288,1.0
514,2,18142.0,14201.0,11280.5,561.2203433513641,62,305,0.48704663212435234,0.0497271259393376,0.03093486624139368,0.039519776308102536,0.9777357898107389,1.1343763699318063,0.6220923823172748,0.7947327652982185,0.7827692646896703
670,2,19416.43257466168,15594.0,12276.5,727.9898953437805,59,970,0.3364468460562539,0.059282564767408834,0.03749349385086335,0.046683974307027094,1.133749677171746,1.2890365002218598,0.632453976948645,0.7874823650121842,0.8031341462978152
750,2,23913.438782884972,19207.5,14916.5,905.7442903518677,71,950,3.920757839034525,0.060290507245681135,0.037875953290336294,0.047155761569796575,1.1784403643702104,1.3190578359025023,0.6282241603308042,0.7821423922946765,0.8032094494810571
1656,1,65025.0,65025.0,51777.0,1792.690467596054,59,715,1.0,0.034637345768530295,0.027569249790020053,0.027569249790020053,1.7575396741137785,1.7575396741137785,0.7959400230680508,0.7959400230680508,1.0
1549,6,65025.0,65025.0,58362.0,1643.8549002408981,26,20,1.0,0.028161943760926105,0.025280352175946146,0.025280352175946146,1.6116224512165669,1.6116224512165669,0.897677816224529,0.897677816224529,1.0
600,7,20169.0,14935.0,12047.5,644.735062122345,68,955,0.3253012048192771,0.05347392072010823,0.031966635040029,0.04316940489603917,0.9768713062459772,1.126999620826848,0.597798601814666,0.8072982926012722,0.7404928355396896
598,12,17830.138847728376,12350.0,9785.0,652.6761870384216,56,178,0.30903065117330036,0.06663360766089042,0.03660522178836397,0.05284827425412321,1.0378662086811072,1.2161641508152699,0.5493507416655882,0.7931174089068825,0.6926474384451266
532,26,17320.853779936908,13553.5,12075.5,602.4163014888763,84,561,0.9090485713442433,0.04984001832455335,0.03477982720382221,0.04444728678856947,1.1430326559817214,1.3956316506915298,0.6978293422233386,0.8917991662670159,0.7824960693161264
513,2,11573.15698675043,9322.5,7705.0,587.1442233324051,34,287,0.20065609566295184,0.0761684145206467,0.05073328081564946,0.06298141306864093,1.018114032473888,1.120893855965623,0.6660671767284505,0.8268704746580853,0.8055278270806226
1008,6,63503.0,63503.0,63503.0,1008.0,81,468,0.9920948616600791,0.01587326582996079,0.01587326582996079,0.01587326582996079,1.0,1.0,1.0,1.0,1.0
787,3,49980.0,32649.5,20381.5,877.7127648591995,100,986,1.3010204081632653,0.04305573887612271,0.017561279809107634,0.026882885338495217,0.9730740186909086,1.0975365220629387,0.40787314925970386,0.624374033293006,0.6532513005202081
1283,3,25828.249639708083,21960.5,15067.5,1633.0104397535324,47,257,3.5890780165061518,0.10789273164107775,0.06322574942294809,0.07436125952294038,2.09738175720284,2.3099083548387935,0.5860056415410683,0.6892147264406548,0.8502511903183
732,2,28815.0,28182.5,25896.5,741.1126978397369,49,637,0.44313725490196076,0.028621020230158993,0.02571968411729089,0.02629691112710856,1.0069466003257295,1.0137655400184897,0.8986291861877495,0.9187971258759868,0.9780496269304182
628,2,15726.164264123538,14893.0,14562.0,774.6315925121307,44,672,0.15950987363331648,0.053279564792085475,0.04925750357824481,0.052013133184189264,1.063832221283509,1.1075342491982538,0.9245102464793756,0.9762304438326731,0.9470205035296334
532,2,10913.286421815108,9923.5,7923.5,563.4802289009094,24,240,0.19089309804120277,0.07111955432297229,0.05163249704273691,0.05678240831369068,0.9894486147052601,1.0531087548182996,0.7259957902472277,0.7984078198216356,0.9093044584776429
3113,6,44687.987060547806,33977.5,21576.5,3356.1433469057083,80,125,1.163265331543176,0.16211294997733164,0.07510168990960514,0.0987754645546526,3.9577167806903684,4.560112448225289,0.46326767799923857,0.6093002722389816,0.7603273773321642
1449,2,20433.0906874605,17446.0,9862.0,1913.333376288414,38,80,4.471187155703832,0.18389479324219463,0.09363896072083701,0.10967175147818492,2.5865654598442345,2.8015615842612687,0.509198542655375,0.5963831250716497,0.8538111178014967
548,2,11925.00100812735,9167.5,7292.0,716.1706964969635,26,528,8.490565722767323,0.09714740864039115,0.06005623781573397,0.07812061047144407,1.0067776182663262,1.0637051491550127,0.6181970127277722,0.8041450777202073,0.7687630377349229
605,2,21343.44028714113,18103.5,14393.5,694.8843377828598,35,77,2.747171564665784,0.04823073661515598,0.032557278884487506,0.038383977561403035,1.051936753730852,1.1954196547720766,0.6750317571193125,0.7958405833126191,0.8481997164677754
489,2,12689.757066190825,11434.0,9051.0,602.9087229967117,32,354,0.22345958252432344,0.06666026015774357,0.0475114472130467,0.05272946676549867,1.033962486790964,1.1138198674804862,0.7127402008425487,0.7910180164421899,0.9010416779737632
