n_corner,n_h_corner,n_contour,a_rect,a_hull,a_approx,l_perimeters,wide/length,perim/a_rect,perim/a_hull,perim/a_appx,corner/a_rect,corner/a_hull,corner/a_appx,corner/l_perim,h_corner/a_rect,h_corner/a_hull,h_corner/a_appx,h_corner/l_perim,extent,solidity,labels
55,341,9,25815.88612538972,18656.5,14957.0,1000.256921172142,1.413564027530739,0.038745790724123055,0.05361439290178447,0.06687550452444621,0.0021304711266876847,0.0029480341971966873,0.0036772079962559337,0.05498587296506656,0.013208920985463644,0.018277812022619463,0.02279868957678679,0.3409124123834127,0.5793719389430491,0.8017044997721974,0
44,423,2,13680.0,10787.0,8452.5,498.16652059555054,0.4222222222222222,0.036415681330084104,0.04618211927278674,0.05893718078622307,0.003216374269005848,0.004078983962176694,0.0052055604850635906,0.08832388002991182,0.030921052631578946,0.0392138685454714,0.05004436557231588,0.8491136648330159,0.6178728070175439,0.7835820895522388,0
60,440,14,65025.0,64292.0,64132.5,1015.899494767189,1.0,0.015623214067930626,0.015801336010190833,0.01584063454203702,0.000922722029988466,0.0009332420829963292,0.0009355630920360191,0.05906096056652734,0.006766628219915417,0.006843775275306415,0.006860796008264141,0.4331137108212005,0.9862745098039216,0.9975191314627014,0
31,79,2,9735.0,7252.5,6115.5,420.69343197345734,0.3107344632768362,0.04321452819449998,0.05800667796945293,0.06879133872511771,0.0031843862352336928,0.0042743881420199935,0.005069086746790941,0.07368786304692267,0.008115048793014895,0.01089279558772837,0.012917995257951108,0.18778519937764163,0.6281972265023112,0.8432264736297829,0
74,524,6,22528.502492754487,17902.0,14512.0,958.9991235733032,3.660111745208089,0.04256825875939744,0.05356938462592466,0.06608318106210745,0.003284727869675294,0.004133616355714445,0.0050992282249173095,0.07716378271991575,0.023259424374457487,0.02927047257289688,0.036108048511576625,0.5464030019626467,0.6441617681719982,0.8106356831638923,0
63,478,8,29657.087534376886,20219.5,16664.5,937.8721451759338,1.460459649818251,0.031623878915581424,0.04638453696559924,0.05627964506441441,0.0021242814193057164,0.0031158040505452657,0.003780491463890306,0.06717333521850352,0.01611756378457353,0.02364054501842281,0.028683728884755018,0.5096643529276933,0.5619061541590494,0.8241796285763743,0
55,429,8,65025.0,64940.0,56406.0,1846.3229365348816,1.0,0.028394047466895528,0.02843121245049094,0.032732740072596564,0.0008458285274894271,0.0008469356328919002,0.0009750735737332908,0.02978893827924935,0.006597462514417532,0.006606097936556822,0.007605573875119668,0.2323537185781449,0.8674509803921568,0.868586387434555,0
62,317,7,30039.454317894066,19670.0,16517.5,903.4284940958023,1.63636381041211,0.030074730537220283,0.04592925745276066,0.054695231971896616,0.0020639522723642652,0.00315200813421454,0.0037535946723172395,0.06862745685484803,0.010552788231281808,0.016115912557193697,0.019191766308460725,0.35088554553204554,0.5498601880447863,0.8397305541433655,0
41,284,3,65025.0,64863.0,64857.0,1015.899494767189,1.0,0.015623214067930626,0.01566223416689313,0.015663683099236613,0.0006305267204921184,0.0006321015062516381,0.0006321599827312395,0.040358323053793686,0.004367550941945406,0.0043784592140357365,0.004378864270626147,0.2795552133482294,0.9974163783160322,0.9999074973405485,0
34,366,2,65025.0,65015.0,65014.5,1018.2426406145096,1.0,0.015659248606143938,0.015661657165492726,0.015661777612909576,0.0005228758169934641,0.0005229562408674922,0.0005229602627106261,0.03339086249568275,0.005628604382929643,0.005629470122279474,0.005629513416237917,0.35944281392411437,0.999838523644752,0.9999923094670461,0
30,239,3,54060.0,44653.5,34185.5,1000.1909058094025,1.2028301886792452,0.01850149659284873,0.022398936383696742,0.029257752725845826,0.0005549389567147614,0.0006718398333837213,0.0008775650495092948,0.02999427391886008,0.004421013688494266,0.00535232400595698,0.0069912682277573825,0.23895438222025198,0.6323621901590825,0.7655726874713068,0
47,526,3,23065.90741111897,15358.5,12771.0,668.457931637764,0.8134230346832332,0.02898034400829739,0.04352364694714744,0.05234186294242925,0.002037639324665959,0.003060194680470098,0.003680212982538564,0.0703110813343886,0.02280421882498499,0.03424813621121854,0.041187064442878396,0.786885718763583,0.5536742939427439,0.8315265162613537,0
44,1288,5,6558.519972930662,5684.0,4948.0,388.85281229019165,0.6984126821667147,0.05928971992082438,0.06841182482234195,0.07858787637231036,0.006708830678507286,0.007741027445460943,0.00889248181083266,0.11315335419810167,0.19638577077084962,0.22660098522167488,0.2603071948261924,3.31230727743534,0.7544385044830466,0.8705137227304715,0
69,464,7,21122.49947669939,14632.0,12442.5,865.1513636112213,0.3352112696603868,0.04095875890850822,0.05912734852455039,0.06953195608689744,0.0032666588571165613,0.0047156916347731,0.005545509342977697,0.07975483008197277,0.021967097242059197,0.03171131765992345,0.03729154108900944,0.536322335623701,0.589063809125693,0.8503622197922361,0
100,964,11,30608.033871252555,21254.5,18069.5,1177.4284940958023,1.2101598400783682,0.038467955800377554,0.05539666866290914,0.06516109986971429,0.003267116091828467,0.004704886024136066,0.005534187442928692,0.08493084760683856,0.03149499912522642,0.04535510127267167,0.05334956694983259,0.8187333709299237,0.590351542212945,0.8501493801312663,0
77,967,15,65025.0,65025.0,50314.0,1950.5828220844269,1.0,0.02999742902090622,0.02999742902090622,0.038768192194705786,0.001184159938485198,0.001184159938485198,0.001530389156099694,0.039475380962145694,0.014871203383314109,0.014871203383314109,0.0192193027785507,0.49574926481032316,0.7737639369473279,0.7737639369473279,0
26,305,1,65025.0,65025.0,53643.0,1665.7543950080872,1.0,0.025617137947067853,0.025617137947067853,0.031052595772199303,0.00039984621299500193,0.00039984621299500193,0.0004846857931137334,0.015608543539141477,0.004690503652441369,0.004690503652441369,0.005685737188449565,0.18310022228608272,0.824959630911188,0.824959630911188,0
79,905,12,65025.0,65025.0,50004.5,1987.4528793096542,1.0,0.030564442588383763,0.030564442588383763,0.039745480492948716,0.0012149173394848136,0.0012149173394848136,0.0015798578127968483,0.03974937007182822,0.013917723952326029,0.013917723952326029,0.018098371146596806,0.45535670778486764,0.7690042291426374,0.7690042291426374,0
91,900,8,27520.03889444843,18395.5,15458.0,1042.9087229967117,2.3999645473799047,0.037896338991261234,0.05669368720593144,0.06746724822077317,0.0033066813731268845,0.004946862004294529,0.005886919394488291,0.08725595825732385,0.03270344215180435,0.04892500883368215,0.05822227972570837,0.8629710157317744,0.561699787536213,0.8403142072789541,0
63,605,11,28016.367999855196,20324.0,15372.0,953.0092282295227,0.37351722401939136,0.03401615899086021,0.046890829966026504,0.06199643691318779,0.002248685482726584,0.0030997835071836254,0.004098360655737705,0.06610639029911584,0.021594519318247355,0.02976776225152529,0.03935727296383034,0.6348312084280172,0.5486792577852865,0.7563471757528045,0
100,836,10,28794.2324131981,19949.5,16916.0,1118.256921172142,1.2464516715847707,0.03883614277766192,0.0560543833766331,0.06610646258998239,0.0034729177206392235,0.005012656958821023,0.005911563017261764,0.08942488806166415,0.02903359214454391,0.041905812175743754,0.049420666824308346,0.7475920641955124,0.5874787616233311,0.8479410511541643,0
88,948,10,27497.843019294553,18882.5,16340.0,998.7838325500488,0.5422893572102271,0.0363222610533207,0.05289468198332047,0.061125081551410575,0.003200251013806886,0.004660399841122733,0.005385556915544675,0.08810715305164928,0.03447543137601055,0.05020521647027671,0.0580171358629131,0.9491543306018582,0.5942284268818695,0.8653515159539256,0
98,658,14,29389.718088597874,19846.5,16772.5,1067.8376553058624,2.167843592074764,0.03633371548807554,0.05380483487294296,0.0636659803431726,0.003334499490759674,0.0049378983699896704,0.005842897600238485,0.09177425005857254,0.02238878229510067,0.03315446048421636,0.03923088388731555,0.6161985361075585,0.5706927827425167,0.8451112286801199,0
65,675,8,29440.002417727374,20779.0,11362.0,1096.6559777259827,0.3565217204300162,0.03725053966251132,0.05277712968506582,0.09651962486586715,0.0022078802534628897,0.0031281582366812647,0.005720823798627002,0.05927109441812691,0.02292798724749924,0.032484720150151594,0.05940855483189579,0.6155075189574718,0.3859374683053131,0.5468020597718851,0
63,471,9,25276.20266756101,18870.5,13962.5,925.269113779068,2.0558081609947125,0.036606333868597296,0.04903257008447407,0.06626815497074794,0.002492463002793255,0.0033385442887045916,0.004512085944494181,0.06808829891953239,0.01863412816374005,0.024959593015553377,0.03373321396598031,0.5090410919222182,0.5523970583571559,0.739911502079966,0
58,555,9,65024.98443603609,63831.5,42408.0,1653.2518688440323,1.0,0.025424871427232813,0.025900250955155874,0.03898443380598077,0.0008919648424837927,0.0009086422847653588,0.0013676664780230144,0.03508237377076373,0.00853518082031905,0.00869476669042714,0.013087153367289191,0.33570202487541156,0.65218008689746,0.6643741726263679,0
72,660,4,22560.753868801752,15437.0,13468.5,762.6173119544983,1.7431721917357244,0.03380282930213105,0.04940191176747414,0.05662228993239769,0.003191382717913764,0.0046641186759085315,0.0053458068827263614,0.09441170410290384,0.02925434158087617,0.0427544211958282,0.04900322975832498,0.8654406209432851,0.5969880296697435,0.8724816998121396,0
100,463,7,34324.11285244557,25483.5,20253.5,1441.6366448402405,0.8381354642078277,0.04200069645026601,0.056571375393499344,0.07117963042635794,0.0029134037762282637,0.00392410775599898,0.004937418224010665,0.06936560634603028,0.01348905948393686,0.018168618910275276,0.02286024637716938,0.32116275738212025,0.5900662338183914,0.7947691643612533,0
100,632,6,57629.98532104585,42956.0,23923.5,1055.7127648591995,1.1283186013981104,0.018318810233561945,0.024576607804711787,0.044128692075122766,0.0017352077992544806,0.002327963497532359,0.0041799903860221125,0.09472273456249912,0.010966513291288317,0.014712729304404508,0.026417539239659747,0.5986476824349944,0.4151224378546457,0.5569303473321539,0
67,698,7,65025.0,65025.0,51351.5,1819.9310202598572,1.0,0.027988174090885925,0.027988174090885925,0.035440659382099005,0.0010303729334871204,0.0010303729334871204,0.00130473306524639,0.03681458212104845,0.01073433294886582,0.01073433294886582,0.013592592231969855,0.3835310197088331,0.7897193387158785,0.7897193387158785,0
100,761,10,28349.06361858826,19919.5,16862.5,1147.1858534812927,1.1172447815437492,0.04046644604970627,0.05759109683884097,0.06803177781949846,0.003527453370079948,0.005020206330480182,0.005930318754633061,0.08716983363814702,0.026843920146308403,0.03820377017495419,0.0451297257227576,0.6633624339862989,0.5948168245297312,0.8465322924772208,0
67,551,4,65025.0,65025.0,50796.0,1773.6122596263885,1.0,0.027275851743581523,0.027275851743581523,0.034916376478982374,0.0010303729334871204,0.0010303729334871204,0.0013190014961808017,0.03777601312595435,0.008473663975394079,0.008473663975394079,0.010847310811874952,0.31066542137911707,0.7811764705882352,0.7811764705882352,0
63,464,3,65025.0,64964.5,51251.0,1759.0264731645584,1.0,0.02705154130203089,0.027076733803301164,0.03432179807544357,0.0009688581314878892,0.0009697604076072317,0.0012292443074281478,0.03581526541022461,0.007135717031910804,0.007142362367138976,0.009053481883280326,0.263782272227686,0.7881737793156478,0.7889077880996545,0
65,293,11,17995.080064656562,13446.5,11382.5,751.269113779068,3.6417562521143916,0.04174858411742254,0.05587097860254103,0.06600211849585487,0.003612098405033717,0.004833971665489161,0.005710520535910389,0.08652026125902348,0.01628222819499814,0.021790056892128064,0.025741269492642212,0.3900067161368289,0.6325340014660966,0.8465028074220057,0
63,367,5,17840.33657444967,12860.0,10677.0,619.7716399431229,0.4024506377096402,0.03473990736423319,0.04819375116198467,0.05804735786673437,0.0035313235115881437,0.004898911353032659,0.005900533857825232,0.10165034335191843,0.02057136077385474,0.028538102643856922,0.03437295120352159,0.5921535874627629,0.598475256082962,0.830248833592535,0
85,191,12,31975.616393309087,23370.5,19564.0,947.6955199241638,0.5840806964328477,0.029638068841808772,0.04055093044325812,0.04844078511164199,0.0026582755733142423,0.0036370638197727903,0.004344714782253118,0.08969125443032784,0.005973301582388474,0.008172696347960036,0.009762829687180535,0.2015415246610896,0.6118412154861157,0.8371237243533515,0
93,677,10,30592.265086374246,22243.5,17786.5,1060.2640614509583,2.691892812592366,0.03465791298739754,0.04766624233825424,0.05961060700255577,0.003039984118123443,0.004180996695663902,0.005228684676580553,0.0877139982210947,0.02212977685988786,0.03043585766628453,0.03806257554887133,0.6385201805987216,0.581405134591426,0.7996268572841504,0
100,578,16,36592.29385100305,26431.5,21710.5,1493.0508583784103,0.9628137538884631,0.040802330251769214,0.05648755683099371,0.06877091077489741,0.002732815832950545,0.0037833645460908388,0.004606066189171139,0.06697695489663971,0.015795675514454148,0.021867847076405048,0.02662306257340918,0.38712679930257754,0.593307981412728,0.8213873597790515,0
85,539,8,65025.0,64998.5,44621.0,1982.080295920372,1.0,0.03048181923752975,0.03049424672754559,0.044420346830424506,0.00130718954248366,0.0013077224859035209,0.0019049326550279017,0.042884236413101795,0.008289119569396385,0.008292499057670561,0.012079514130118105,0.27193651090190435,0.6862129950019223,0.6864927652176589,0
64,615,4,20710.67111844197,14950.5,12574.0,823.1097334623337,3.969628082805999,0.03974326707015253,0.05505566592838592,0.06546124808830393,0.0030901944043238046,0.004280793284505535,0.005089867981549229,0.07775390983507147,0.029694836854049056,0.041135747968295375,0.04891045013519962,0.7471664773213899,0.6071266318744925,0.8410421056151968,0
62,1049,2,17349.55193781387,13366.5,11014.5,619.8061298131943,0.30630262698468974,0.035724618827896536,0.04637011407722248,0.056271835291043105,0.0035735793190640928,0.004638461826207309,0.0056289436651686415,0.10003127916577143,0.06046265654351989,0.07847978154341076,0.09523809523809523,1.6924647071757133,0.6348578937069589,0.8240377062058131,0
87,650,19,29547.380355898524,23085.0,18041.0,1076.4061968326569,0.49489219074425134,0.03642983519578833,0.046627948747353556,0.05966444192853261,0.0029444234633352953,0.0037686809616634177,0.004822349093730946,0.0808245068227951,0.021998566105378644,0.028156811782542777,0.03602904495316224,0.6038612578714576,0.6105786632417478,0.7815031405674681,0
